1052,1057,1048,1069,1041,1056,1033,1047,1062,1032,1047,1029,1044,1043,1040,1042,1063,1030,1032,1050,1039,1039,1048,1025,1045,1021,1042,1252,1244,1256,1251,1034,1041,1028,1128,1263,1276,1279,1268,1275,1265,,,
0.071585977,0.068138708,0.074403676,0.073123082,0.07512342,0.071426385,0.066634851,0.069005048,0.067945472,0.070547699,0.06994645,0.066289731,0.06864689,0.070571538,0.069282183,0.070145602,0.070240144,0.073381586,0.071015102,0.066961767,0.069321975,0.065900289,0.070833566,0.065939984,0.06465815,0.064024716,0.066780411,0.060802209,0.062309357,0.058523617,0.057784954,0.067586477,0.065318873,0.064278347,0.066261093,0.059189038,0.059664028,0.060418768,0.056399245,0.057092622,0.059560596,,,
0.071131831,0.062143036,0.066053051,0.072687591,0.066323143,0.068177502,0.061431542,0.065089306,0.066986619,0.065156812,0.06994645,0.061580983,0.068166544,0.06868633,0.068323992,0.067272507,0.066463571,0.067744689,0.065666633,0.064468618,0.065900289,0.060665805,0.061947252,0.065428898,0.064146577,0.060227385,0.064772468,0.06037598,0.058878439,0.053972487,0.055974948,0.064048144,0.060592418,0.064278347,0.062120031,0.055175101,0.058809299,0.054730059,0.055035154,0.052028778,0.057821266,,,
0.062327057,0.059468629,0.058126249,0.06065458,0.064298365,0.064242811,0.060887167,0.063036094,0.066012796,0.063602248,0.060373446,0.061580983,0.063148422,0.067233489,0.067350695,0.059457099,0.065974931,0.064719955,0.063602248,0.059719332,0.064374561,0.060118123,0.059791398,0.063870367,0.057667369,0.060227385,0.061098251,0.055485819,0.055714277,0.053021898,0.054582767,0.060301375,0.056661633,0.057700498,0.058195191,0.052351135,0.057942776,0.054730059,0.053641234,0.051547921,0.055577461,,,
0.060732647,0.058367271,0.058126249,0.060122239,0.063261198,0.063219597,0.058662823,0.060373446,0.064523191,0.0625444,0.059827504,0.059931315,0.06048271,0.0615992,0.063819776,0.059457099,0.058156916,0.055876528,0.055212447,0.058614857,0.061208897,0.059565785,0.058686029,0.059518687,0.056521925,0.060227385,0.056626633,0.054083929,0.052870832,0.052541261,0.053159545,0.057485919,0.056080344,0.056536535,0.056658967,0.051868132,0.054352919,0.054270573,0.053641234,0.051063439,0.052297098,,,
0.059647461,0.057809557,0.05583811,0.0595855,0.060592418,0.062701777,0.058662823,0.057027089,0.060905696,0.062008859,0.057596836,0.056501147,0.058828958,0.056591682,0.057844553,0.054867932,0.057039469,0.05407645,0.052781328,0.05692237,0.058446864,0.058446864,0.057561642,0.053635848,0.054169516,0.056194044,0.056626633,0.05360971,0.052384393,0.048561013,0.052192851,0.056324953,0.054902166,0.054145051,0.055085294,0.050891093,0.052952812,0.050470984,0.053169759,0.051063439,0.052297098,,,
0.053334526,0.057247057,0.054068323,0.057393276,0.056661633,0.059504299,0.05694339,0.055872571,0.059290996,0.056978832,0.057027089,0.054110726,0.057132242,0.056010894,0.054936448,0.053668909,0.055902695,0.05407645,0.052781328,0.054595779,0.057308468,0.055563017,0.053467716,0.052393659,0.0535681,0.054994663,0.055459389,0.053131951,0.049895367,0.046474655,0.049202327,0.054544229,0.054305104,0.053533416,0.054552128,0.049898984,0.052002116,0.049484918,0.048254286,0.050575279,0.051328154,,,
0.052118952,0.055530099,0.054068323,0.052176306,0.05123634,0.054981481,0.056360093,0.05469748,0.056507779,0.055806516,0.052282788,0.051630743,0.056556779,0.050540713,0.053736352,0.052447787,0.052972073,0.052226059,0.05089766,0.054001097,0.050669858,0.053161566,0.053467716,0.051763735,0.052961176,0.053773112,0.055459389,0.048148122,0.049385796,0.046474655,0.047128582,0.052714238,0.051861549,0.052292954,0.049546475,0.049898984,0.051037136,0.049484918,0.047741448,0.048584758,0.0498468,,,
0.049618953,0.054947698,0.052249928,0.050341875,0.04801891,0.045565355,0.055177776,0.052282788,0.051794718,0.048300057,0.049776926,0.048394598,0.055390545,0.049261376,0.05312805,0.051828696,0.051762544,0.05032261,0.05089766,0.049682006,0.04873778,0.051301603,0.051632552,0.050485679,0.052348647,0.053153781,0.055459389,0.047103328,0.047306219,0.046474655,0.046599544,0.051465581,0.051861549,0.051663919,0.048965856,0.049397137,0.05054916,0.048986165,0.047224494,0.048584758,0.048839948,,,
0.048978979,0.05376728,0.051009384,0.049090174,0.046687007,0.045565355,0.049579481,0.051041668,0.048026359,0.046282953,0.049776926,0.047728021,0.048581112,0.049261376,0.05189445,0.051203779,0.051149417,0.05032261,0.050257714,0.049041419,0.04873778,0.050032052,0.051632552,0.049837315,0.051730415,0.047303447,0.053668909,0.044961456,0.047306219,0.045405563,0.045528243,0.049547463,0.05123634,0.051028871,0.047192417,0.048381558,0.049561966,0.04848352,0.046703358,0.045478658,0.045721376,,,
0.048978979,0.05376728,0.051009384,0.049090174,0.044637592,0.044887449,0.04892729,0.047172867,0.047376988,0.046282953,0.046505578,0.047054685,0.048581112,0.048612355,0.048049967,0.049936035,0.048638732,0.047023796,0.048959037,0.048394598,0.046071038,0.050032052,0.050380318,0.048521302,0.050476417,0.04662043,0.04929298,0.043863147,0.045701252,0.044864277,0.045528243,0.04823726,0.050605193,0.051028871,0.047192417,0.048381558,0.049062635,0.044314534,0.046703358,0.045478658,0.045721376,,,
