21/22,20/21,19/20,18/19,17/18,16/17,15/16,14/15,13/14,Dec-13,11-Dec,10-Nov,09-Oct,08-Sep,07-Aug,06-Jul,05-Jun,04-May,03-Apr,02-Mar,01-Feb,00/01,99/00,98/99,97/98,96/97,95/96,94/95,93/94,92/93,91/92,90/91,89/90,88/89,87/88,86/87,85/86,84/85,83/84,82/83,81/82
0.067760744,0.065203864,0.066279215,0.065666633,0.070476188,0.068496844,0.066664002,0.061373055,0.067931878,0.064696206,0.066289731,0.063706273,0.065939004,0.062586745,0.067329698,0.06383191,0.061504537,0.06633492,0.072872153,0.069213466,0.072105207,0.073972448,0.073081537,0.071283307,0.071488481,0.06841537,0.068609405,0.067163736,0.06819434,0.06730266,0.069073991,0.06730266,0.069941863,0.06819434,0.077356623,0.074401837,0.075793168,0.073561483,0.075793168,0.073561483,0.080039941
0.065280486,0.064696206,0.064280323,0.060375027,0.063695977,0.06802262,0.065669063,0.060821211,0.064468618,0.061562259,0.05766461,0.06051923,0.060702573,0.062586745,0.062159344,0.058347241,0.07130991,0.062654122,0.071643225,0.066576963,0.071488481,0.07153998,0.066676467,0.062696898,0.068312529,0.065712482,0.064635366,0.067163736,0.065482155,0.062654247,0.064552772,0.06730266,0.065482155,0.06730266,0.072877124,0.073249956,0.073561483,0.072416978,0.070068105,0.072416978,0.072416978
0.060555799,0.064696206,0.064280323,0.060375027,0.061086496,0.060977872,0.058793153,0.057989419,0.057491399,0.06048271,0.056501147,0.058303879,0.059044823,0.059348857,0.058844163,0.060597198,0.052543656,0.057001151,0.06512003,0.065900943,0.062176352,0.062934392,0.064625424,0.061987932,0.064973778,0.062894525,0.064635366,0.06516976,0.065482155,0.060700548,0.06361024,0.061684465,0.065482155,0.064552772,0.071708538,0.070885189,0.066386658,0.071252697,0.068862638,0.068862638,0.068862638
0.057202586,0.064184449,0.060084228,0.059821129,0.061086496,0.059905039,0.057097142,0.057408027,0.054595779,0.058268256,0.055911609,0.058303879,0.05791577,0.059348857,0.057700498,0.054213849,0.051251384,0.056407986,0.064430585,0.063125845,0.061458402,0.0593035,0.064625424,0.061271431,0.063589677,0.062171101,0.063949192,0.064491537,0.062654247,0.059702134,0.061684465,0.059702134,0.064552772,0.060700548,0.065545831,0.069671183,0.066386658,0.070068105,0.066386658,0.0676357,0.068862638
0.056626633,0.059384888,0.057879598,0.058698991,0.056679698,0.05600484,0.055356195,0.055029659,0.053401028,0.055976241,0.054110726,0.056591682,0.054407297,0.056521925,0.055351619,0.06277167,0.049264599,0.051460614,0.063029955,0.063125845,0.060732742,0.057794985,0.061788702,0.061271431,0.063589677,0.061439824,0.063949192,0.059541688,0.057660267,0.058688841,0.059702134,0.059702134,0.062654247,0.057660267,0.064244847,0.069671183,0.065114843,0.070068105,0.065114843,0.065114843,0.065114843
0.056045595,0.055976241,0.055598215,0.056978832,0.054360121,0.055428275,0.052961176,0.053187934,0.052795476,0.055390545,0.052882323,0.053635258,0.051960393,0.0535681,0.053533416,0.051730415,0.046519633,0.048170088,0.058644441,0.062413692,0.059999226,0.053871582,0.059579962,0.061271431,0.062886732,0.058433146,0.061132039,0.058804061,0.056615989,0.057660267,0.059702134,0.058688841,0.056615989,0.055555556,0.064244847,0.06717688,0.063819543,0.0676357,0.065114843,0.063819543,0.059784895
0.054271135,0.055976241,0.048885654,0.054612986,0.052565446,0.054259823,0.051106374,0.052562473,0.052795476,0.052381647,0.052882323,0.052414694,0.050064149,0.052961176,0.049086487,0.049150492,0.046519633,0.046114588,0.055555556,0.057975714,0.055424258,0.053871582,0.058827458,0.055250276,0.056983489,0.056878555,0.059678125,0.058058367,0.055555556,0.057660267,0.058688841,0.058688841,0.055555556,0.055555556,0.060191582,0.063259437,0.061155405,0.066386658,0.065114843,0.0625,0.058387544
0.05057293,0.049872254,0.047588808,0.05089766,0.050720884,0.05,0.048549914,0.051931062,0.052184347,0.051138796,0.049708022,0.049261376,0.049419853,0.050476417,0.047759294,0.048489556,0.064236733,0.046114588,0.053957352,0.05240529,0.054631162,0.053059294,0.053314659,0.053658494,0.056983489,0.055287868,0.057437299,0.057304445,0.054478493,0.056615989,0.056615989,0.057660267,0.052272432,0.052272432,0.057355233,0.057673955,0.061155405,0.061155405,0.063819543,0.059784895,0.058387544
0.048643643,0.045238958,0.047588808,0.044903294,0.050720884,0.046780861,0.045891126,0.050649942,0.050944954,0.04792601,0.048394598,0.049261376,0.04876925,0.048549914,0.047759294,0.046466347,0.045103347,0.045415013,0.051488239,0.05240529,0.053828812,0.053059294,0.052489737,0.052029032,0.053828812,0.054478493,0.051077031,0.055771237,0.053384297,0.054478493,0.055555556,0.056615989,0.052272432,0.049993375,0.055893783,0.057673955,0.059784895,0.059784895,0.061155405,0.059784895,0.058387544
0.048643643,0.043149537,0.047588808,0.044202518,0.043482091,0.04611787,0.045891126,0.048680737,0.048394598,0.046596094,0.047728021,0.045950921,0.046778319,0.046565878,0.047085619,0.044379438,0.045103347,0.045415013,0.050645136,0.051571376,0.053017,0.052237311,0.050809654,0.052029032,0.048807906,0.053659481,0.051077031,0.054203007,0.053384297,0.053384297,0.055555556,0.056615989,0.049993375,0.049993375,0.055893783,0.057673955,0.058387544,0.05550826,0.056962356,0.058387544,0.056962356
